0:0.126    1:0.328    2:0.273    3:0.273
0:0.215    1:0.355    2:0.232    3:0.198
0:0.199    1:0.241    2:0.282    3:0.278
0:0.125    1:0.338    2:0.225    3:0.312
0:0.161    1:0.270    2:0.236    3:0.332
0:0.265    1:0.293    2:0.173    3:0.269
0:0.187    1:0.331    2:0.205    3:0.277
0:0.289    1:0.288    2:0.215    3:0.208
0:0.159    1:0.301    2:0.243    3:0.298
0:0.157    1:0.367    2:0.286    3:0.190
0:0.067    1:0.226    2:0.239    3:0.468
0:0.181    1:0.275    2:0.359    3:0.185
0:0.117    1:0.378    2:0.230    3:0.275
0:0.260    1:0.264    2:0.265    3:0.211
0:0.197    1:0.364    2:0.185    3:0.254
0:0.413    1:0.291    2:0.187    3:0.110
0:0.248    1:0.286    2:0.184    3:0.281
0:0.120    1:0.333    2:0.315    3:0.232
0:0.115    1:0.362    2:0.284    3:0.239
0:0.177    1:0.267    2:0.296    3:0.260
0:0.250    1:0.363    2:0.175    3:0.212
0:0.224    1:0.313    2:0.256    3:0.206
0:0.115    1:0.545    2:0.203    3:0.137
0:0.164    1:0.324    2:0.187    3:0.324
0:0.130    1:0.340    2:0.225    3:0.305
0:0.326    1:0.311    2:0.221    3:0.142
0:0.253    1:0.252    2:0.276    3:0.219
0:0.123    1:0.341    2:0.280    3:0.256
0:0.157    1:0.340    2:0.236    3:0.266
0:0.250    1:0.208    2:0.166    3:0.375
0:0.140    1:0.289    2:0.316    3:0.256
0:0.292    1:0.332    2:0.193    3:0.183
0:0.240    1:0.313    2:0.242    3:0.205
0:0.122    1:0.316    2:0.263    3:0.298
0:0.192    1:0.336    2:0.305    3:0.167
0:0.108    1:0.389    2:0.238    3:0.264
0:0.235    1:0.287    2:0.246    3:0.232
0:0.124    1:0.344    2:0.227    3:0.305
0:0.265    1:0.279    2:0.198    3:0.258
0:0.101    1:0.301    2:0.285    3:0.313
0:0.264    1:0.302    2:0.150    3:0.284
0:0.251    1:0.294    2:0.196    3:0.260
0:0.242    1:0.246    2:0.196    3:0.316
0:0.207    1:0.333    2:0.288    3:0.172
0:0.269    1:0.391    2:0.210    3:0.130
0:0.101    1:0.362    2:0.231    3:0.306
0:0.178    1:0.313    2:0.271    3:0.238
0:0.130    1:0.302    2:0.195    3:0.372
0:0.053    1:0.408    2:0.240    3:0.299
0:0.126    1:0.245    2:0.250    3:0.379
0:0.105    1:0.355    2:0.173    3:0.366
0:0.057    1:0.376    2:0.243    3:0.323
0:0.175    1:0.241    2:0.293    3:0.291
0:0.112    1:0.411    2:0.257    3:0.220
0:0.210    1:0.268    2:0.261    3:0.261
0:0.043    1:0.387    2:0.285    3:0.286
0:0.128    1:0.361    2:0.245    3:0.267
0:0.161    1:0.266    2:0.344    3:0.228
0:0.194    1:0.338    2:0.155    3:0.313
0:0.151    1:0.262    2:0.231    3:0.356
0:0.143    1:0.263    2:0.305    3:0.289
0:0.166    1:0.253    2:0.201    3:0.381
0:0.231    1:0.281    2:0.259    3:0.228
0:0.060    1:0.176    2:0.310    3:0.454
0:0.163    1:0.220    2:0.378    3:0.239
0:0.209    1:0.320    2:0.250    3:0.220
0:0.117    1:0.351    2:0.279    3:0.253
0:0.102    1:0.359    2:0.286    3:0.253
0:0.104    1:0.446    2:0.204    3:0.246
0:0.101    1:0.199    2:0.515    3:0.185
0:0.149    1:0.269    2:0.278    3:0.304
0:0.246    1:0.296    2:0.295    3:0.162
0:0.170    1:0.415    2:0.228    3:0.186
0:0.135    1:0.298    2:0.215    3:0.353
0:0.089    1:0.298    2:0.307    3:0.306
0:0.130    1:0.360    2:0.228    3:0.283
0:0.152    1:0.314    2:0.237    3:0.297
0:0.214    1:0.315    2:0.220    3:0.252
0:0.311    1:0.315    2:0.191    3:0.183
0:0.124    1:0.325    2:0.317    3:0.235
0:0.188    1:0.278    2:0.306    3:0.228
0:0.100    1:0.319    2:0.343    3:0.238
0:0.179    1:0.242    2:0.333    3:0.247
0:0.221    1:0.232    2:0.371    3:0.177
0:0.134    1:0.337    2:0.247    3:0.281
0:0.108    1:0.386    2:0.289    3:0.217
0:0.120    1:0.409    2:0.253    3:0.218
0:0.213    1:0.244    2:0.324    3:0.219
0:0.175    1:0.328    2:0.233    3:0.264
0:0.278    1:0.341    2:0.211    3:0.170
0:0.161    1:0.288    2:0.313    3:0.238
0:0.107    1:0.393    2:0.247    3:0.252
0:0.137    1:0.337    2:0.250    3:0.276
0:0.106    1:0.403    2:0.246    3:0.245
0:0.188    1:0.327    2:0.247    3:0.237
0:0.197    1:0.358    2:0.193    3:0.251
0:0.169    1:0.341    2:0.258    3:0.232
0:0.250    1:0.361    2:0.156    3:0.233
0:0.147    1:0.340    2:0.227    3:0.287
0:0.127    1:0.403    2:0.310    3:0.161
0:0.271    1:0.339    2:0.152    3:0.237
0:0.176    1:0.398    2:0.213    3:0.213
0:0.161    1:0.277    2:0.308    3:0.254
0:0.108    1:0.269    2:0.226    3:0.396
0:0.211    1:0.320    2:0.287    3:0.182
0:0.185    1:0.326    2:0.287    3:0.202
0:0.143    1:0.265    2:0.305    3:0.287
0:0.161    1:0.392    2:0.262    3:0.185
0:0.091    1:0.286    2:0.301    3:0.321
0:0.239    1:0.260    2:0.236    3:0.266
0:0.139    1:0.346    2:0.243    3:0.272
0:0.116    1:0.341    2:0.270    3:0.273
0:0.149    1:0.369    2:0.240    3:0.243
0:0.097    1:0.320    2:0.318    3:0.265
0:0.100    1:0.363    2:0.275    3:0.262
0:0.100    1:0.296    2:0.275    3:0.328
0:0.166    1:0.323    2:0.288    3:0.222
0:0.211    1:0.249    2:0.295    3:0.245
0:0.109    1:0.253    2:0.247    3:0.392
0:0.154    1:0.316    2:0.297    3:0.233
0:0.074    1:0.442    2:0.236    3:0.248
0:0.090    1:0.375    2:0.262    3:0.272
0:0.199    1:0.389    2:0.204    3:0.208
0:0.201    1:0.298    2:0.273    3:0.227
0:0.136    1:0.253    2:0.329    3:0.283
0:0.134    1:0.389    2:0.200    3:0.277
0:0.175    1:0.311    2:0.341    3:0.173
0:0.191    1:0.367    2:0.206    3:0.237
0:0.186    1:0.343    2:0.213    3:0.258
0:0.237    1:0.267    2:0.206    3:0.290
0:0.160    1:0.351    2:0.215    3:0.274
0:0.084    1:0.253    2:0.328    3:0.335
0:0.154    1:0.368    2:0.285    3:0.194
0:0.180    1:0.301    2:0.329    3:0.190
0:0.126    1:0.398    2:0.241    3:0.235
0:0.138    1:0.269    2:0.309    3:0.285
0:0.133    1:0.330    2:0.208    3:0.329
0:0.137    1:0.407    2:0.287    3:0.168
0:0.088    1:0.453    2:0.218    3:0.241
0:0.162    1:0.313    2:0.211    3:0.314
0:0.210    1:0.323    2:0.254    3:0.212
0:0.149    1:0.310    2:0.286    3:0.255
0:0.143    1:0.274    2:0.443    3:0.141
0:0.080    1:0.357    2:0.246    3:0.317
0:0.169    1:0.336    2:0.269    3:0.225
0:0.084    1:0.382    2:0.309    3:0.225
0:0.066    1:0.427    2:0.263    3:0.244
0:0.133    1:0.439    2:0.186    3:0.242
0:0.171    1:0.314    2:0.346    3:0.169
0:0.138    1:0.236    2:0.244    3:0.383
0:0.324    1:0.297    2:0.240    3:0.139
0:0.178    1:0.357    2:0.191    3:0.274
0:0.217    1:0.272    2:0.292    3:0.220
0:0.221    1:0.305    2:0.218    3:0.256
0:0.108    1:0.302    2:0.311    3:0.279
0:0.306    1:0.276    2:0.222    3:0.196
0:0.122    1:0.243    2:0.224    3:0.411
0:0.187    1:0.328    2:0.311    3:0.174
0:0.137    1:0.263    2:0.198    3:0.402
0:0.263    1:0.375    2:0.116    3:0.245
0:0.193    1:0.225    2:0.281    3:0.300
0:0.209    1:0.314    2:0.259    3:0.219
0:0.183    1:0.258    2:0.259    3:0.300
0:0.219    1:0.333    2:0.247    3:0.202
0:0.249    1:0.257    2:0.257    3:0.237
0:0.109    1:0.639    2:0.112    3:0.139
0:0.226    1:0.271    2:0.308    3:0.195
0:0.083    1:0.431    2:0.340    3:0.145
0:0.150    1:0.337    2:0.320    3:0.193
0:0.132    1:0.265    2:0.248    3:0.354
0:0.139    1:0.317    2:0.302    3:0.243
0:0.181    1:0.357    2:0.251    3:0.211
0:0.205    1:0.371    2:0.297    3:0.127
0:0.212    1:0.368    2:0.172    3:0.248
0:0.090    1:0.300    2:0.281    3:0.329
0:0.134    1:0.376    2:0.223    3:0.267
0:0.191    1:0.296    2:0.306    3:0.207
0:0.170    1:0.322    2:0.292    3:0.215
0:0.118    1:0.385    2:0.267    3:0.231
0:0.167    1:0.277    2:0.372    3:0.185
0:0.177    1:0.260    2:0.323    3:0.240
0:0.192    1:0.298    2:0.269    3:0.241
0:0.199    1:0.311    2:0.277    3:0.214
0:0.183    1:0.296    2:0.279    3:0.242
0:0.168    1:0.265    2:0.269    3:0.298
0:0.148    1:0.270    2:0.291    3:0.292
0:0.241    1:0.310    2:0.285    3:0.164
0:0.106    1:0.431    2:0.266    3:0.197
0:0.173    1:0.286    2:0.177    3:0.364
0:0.166    1:0.338    2:0.229    3:0.267
0:0.184    1:0.296    2:0.248    3:0.272
0:0.181    1:0.313    2:0.277    3:0.228
0:0.141    1:0.275    2:0.249    3:0.335
0:0.187    1:0.324    2:0.319    3:0.170
0:0.173    1:0.304    2:0.243    3:0.280
0:0.260    1:0.320    2:0.205    3:0.215
0:0.201    1:0.344    2:0.241    3:0.215
0:0.123    1:0.314    2:0.234    3:0.330
0:0.150    1:0.318    2:0.352    3:0.179
0:0.176    1:0.234    2:0.286    3:0.305
0:0.136    1:0.291    2:0.289    3:0.283
0:0.214    1:0.300    2:0.195    3:0.290
0:0.167    1:0.324    2:0.272    3:0.236
0:0.078    1:0.329    2:0.273    3:0.320
0:0.437    1:0.227    2:0.132    3:0.204
0:0.175    1:0.345    2:0.169    3:0.311
0:0.165    1:0.310    2:0.297    3:0.227
0:0.092    1:0.288    2:0.291    3:0.329
0:0.210    1:0.320    2:0.266    3:0.204
0:0.119    1:0.266    2:0.308    3:0.306
0:0.209    1:0.255    2:0.280    3:0.255
0:0.143    1:0.364    2:0.234    3:0.260
0:0.171    1:0.346    2:0.244    3:0.240
0:0.222    1:0.277    2:0.236    3:0.265
0:0.199    1:0.333    2:0.280    3:0.188
0:0.163    1:0.308    2:0.188    3:0.340
0:0.141    1:0.347    2:0.270    3:0.242
0:0.140    1:0.344    2:0.266    3:0.250
0:0.135    1:0.359    2:0.215    3:0.291
0:0.073    1:0.355    2:0.286    3:0.286
0:0.129    1:0.361    2:0.276    3:0.234
0:0.257    1:0.286    2:0.172    3:0.285
0:0.090    1:0.379    2:0.311    3:0.221
0:0.138    1:0.365    2:0.252    3:0.245
0:0.144    1:0.365    2:0.217    3:0.273
0:0.175    1:0.387    2:0.188    3:0.250
0:0.201    1:0.348    2:0.227    3:0.223
0:0.181    1:0.309    2:0.185    3:0.325
0:0.266    1:0.296    2:0.163    3:0.275
0:0.258    1:0.311    2:0.186    3:0.245
0:0.141    1:0.262    2:0.334    3:0.264
0:0.107    1:0.292    2:0.344    3:0.258
0:0.226    1:0.306    2:0.176    3:0.293
0:0.163    1:0.332    2:0.288    3:0.218
0:0.226    1:0.271    2:0.248    3:0.255
0:0.296    1:0.384    2:0.133    3:0.188
0:0.079    1:0.277    2:0.283    3:0.361
0:0.214    1:0.325    2:0.256    3:0.206
0:0.185    1:0.326    2:0.259    3:0.230
0:0.124    1:0.315    2:0.260    3:0.301
0:0.058    1:0.353    2:0.323    3:0.266
0:0.180    1:0.360    2:0.239    3:0.221
0:0.221    1:0.379    2:0.198    3:0.203
0:0.131    1:0.360    2:0.245    3:0.264
0:0.114    1:0.329    2:0.284    3:0.273
0:0.165    1:0.336    2:0.319    3:0.180
0:0.099    1:0.214    2:0.290    3:0.397
0:0.157    1:0.313    2:0.303    3:0.227
0:0.073    1:0.342    2:0.279    3:0.305
0:0.092    1:0.339    2:0.254    3:0.315
0:0.209    1:0.355    2:0.198    3:0.237
0:0.213    1:0.316    2:0.347    3:0.123
0:0.265    1:0.226    2:0.365    3:0.145
0:0.206    1:0.292    2:0.232    3:0.270
0:0.166    1:0.331    2:0.271    3:0.232
0:0.239    1:0.289    2:0.169    3:0.304
0:0.207    1:0.317    2:0.214    3:0.262
0:0.145    1:0.396    2:0.285    3:0.174
0:0.248    1:0.286    2:0.280    3:0.186
0:0.168    1:0.256    2:0.469    3:0.107
0:0.183    1:0.267    2:0.270    3:0.279
0:0.230    1:0.261    2:0.204    3:0.305
0:0.208    1:0.315    2:0.267    3:0.210
0:0.230    1:0.195    2:0.426    3:0.149
0:0.204    1:0.338    2:0.228    3:0.231
0:0.147    1:0.381    2:0.208    3:0.263
0:0.236    1:0.341    2:0.262    3:0.161
0:0.211    1:0.310    2:0.168    3:0.312
0:0.197    1:0.246    2:0.272    3:0.285
0:0.151    1:0.296    2:0.245    3:0.308
0:0.123    1:0.404    2:0.196    3:0.277
0:0.224    1:0.379    2:0.203    3:0.194
0:0.165    1:0.257    2:0.275    3:0.303
0:0.194    1:0.361    2:0.261    3:0.184
0:0.102    1:0.321    2:0.292    3:0.285
0:0.174    1:0.289    2:0.235    3:0.301
0:0.098    1:0.279    2:0.356    3:0.267
0:0.236    1:0.324    2:0.253    3:0.187
0:0.164    1:0.318    2:0.252    3:0.266
0:0.189    1:0.297    2:0.201    3:0.313
0:0.176    1:0.303    2:0.270    3:0.251
0:0.283    1:0.295    2:0.245    3:0.177
0:0.157    1:0.311    2:0.256    3:0.277
0:0.183    1:0.309    2:0.325    3:0.183
0:0.184    1:0.365    2:0.226    3:0.225
0:0.137    1:0.338    2:0.269    3:0.256
0:0.164    1:0.347    2:0.303    3:0.186
0:0.102    1:0.318    2:0.328    3:0.251
0:0.154    1:0.333    2:0.258    3:0.255
0:0.236    1:0.312    2:0.200    3:0.252
0:0.088    1:0.308    2:0.301    3:0.303
0:0.200    1:0.380    2:0.240    3:0.180
0:0.330    1:0.268    2:0.226    3:0.176
0:0.179    1:0.353    2:0.229    3:0.239
0:0.153    1:0.310    2:0.324    3:0.213
0:0.114    1:0.308    2:0.269    3:0.309
0:0.130    1:0.345    2:0.222    3:0.303
0:0.125    1:0.293    2:0.275    3:0.307
0:0.138    1:0.307    2:0.264    3:0.291
0:0.231    1:0.331    2:0.210    3:0.229
0:0.107    1:0.325    2:0.271    3:0.298
0:0.142    1:0.340    2:0.283    3:0.235
0:0.163    1:0.308    2:0.261    3:0.268
0:0.203    1:0.354    2:0.178    3:0.264
0:0.112    1:0.302    2:0.320    3:0.265
0:0.154    1:0.318    2:0.298    3:0.230
0:0.273    1:0.281    2:0.281    3:0.165
0:0.137    1:0.310    2:0.302    3:0.251
0:0.232    1:0.342    2:0.305    3:0.121
0:0.170    1:0.295    2:0.216    3:0.319
0:0.210    1:0.294    2:0.267    3:0.229
0:0.124    1:0.331    2:0.296    3:0.248
0:0.149    1:0.371    2:0.336    3:0.143
0:0.138    1:0.236    2:0.284    3:0.342
0:0.089    1:0.358    2:0.273    3:0.280
0:0.139    1:0.413    2:0.254    3:0.194
0:0.129    1:0.307    2:0.287    3:0.277
0:0.212    1:0.291    2:0.231    3:0.265
0:0.100    1:0.274    2:0.194    3:0.432
0:0.222    1:0.253    2:0.267    3:0.259
0:0.111    1:0.258    2:0.297    3:0.334
0:0.191    1:0.363    2:0.246    3:0.200
0:0.117    1:0.312    2:0.258    3:0.313
0:0.116    1:0.314    2:0.290    3:0.280
0:0.181    1:0.355    2:0.242    3:0.222
0:0.122    1:0.344    2:0.242    3:0.292
0:0.146    1:0.248    2:0.295    3:0.312
0:0.230    1:0.312    2:0.283    3:0.175
0:0.175    1:0.250    2:0.291    3:0.284
